item_url,title,picture,maker,price,point,stock,ratings,terms,spec_list,model_date,memory,hdd,ssd,emmc,intel_cpu,amd_cpu,float_inch,int_inch,new_maker,new_price,new_point,new_ratings,string_len,words_len
https://www.biccamera.com/bc/item/7309753/,FMVA42D3B ノートパソコン LIFEBOOK（ライフブック） AH42/D3 ブライトブラック [15.6型 /intel Celeron /SSD：256GB /メモリ：4GB /2019年10月モデル],https://image.biccamera.com/img/00000007309753_A01.jpg?sr.dw=320&sr.jqh=60&sr.dh=320&sr.mat=1,富士通　FUJITSU,"148,280円（税込）","14,828ポイント
              （10％）",予約受付中,0,no ship info,"['SSD256GB', '2019年10月モデル', '15.6型', 'intelCeleron', 'メモリ4GB']",2019年10月モデル,4,0,256,0,celeron,,15.6,15.0,FUJITSU,148280,14828,0,107,11
https://www.biccamera.com/bc/item/7309754/,FMVAXD3B ノートパソコン LIFEBOOK（ライフブック）AH-X/D3 ブライトブラック [15.6型 /intel Core i7 /SSD：1TB /メモリ：8GB /2019年10月モデル],https://image.biccamera.com/img/00000007309754_A01.jpg?sr.dw=320&sr.jqh=60&sr.dh=320&sr.mat=1,富士通　FUJITSU,"274,780円（税込）","27,478ポイント
              （10％）",予約受付中,0,no ship info,"['2019年10月モデル', '15.6型', 'SSD1TB', 'メモリ8GB', 'intelCorei7']",2019年10月モデル,8,0,1000,0,corei7,,15.6,15.0,FUJITSU,274780,27478,0,103,11
https://www.biccamera.com/bc/item/7309751/,FMVA42D3W ノートパソコン LIFEBOOK（ライフブック） AH42/D3 プレミアムホワイト [15.6型 /intel Celeron /SSD：256GB /メモリ：4GB /2019年10月モデル],https://image.biccamera.com/img/00000007309751_A01.jpg?sr.dw=320&sr.jqh=60&sr.dh=320&sr.mat=1,富士通　FUJITSU,"148,280円（税込）","14,828ポイント
              （10％）",予約受付中,0,no ship info,"['SSD256GB', '2019年10月モデル', '15.6型', 'intelCeleron', 'メモリ4GB']",2019年10月モデル,4,0,256,0,celeron,,15.6,15.0,FUJITSU,148280,14828,0,108,11
https://www.biccamera.com/bc/item/6233915/,ノートパソコン [14.0型 /AMD Eシリーズ /eMMC：32GB /メモリ：4GB /2018年12月],https://image.biccamera.com/img/00000006233915_A01.jpg?sr.dw=320&sr.jqh=60&sr.dh=320&sr.mat=1,ASUS　エイスース,"19,800円（税込）","198ポイント
",在庫あり,"(82)
                  ",2019年11月4日月曜日にお届け,"['AMDEシリーズ', 'eMMC32GB', '2018年12月', 'メモリ4GB', '14.0型']",2018年12月,4,0,0,32,0,AMDEシリーズ,14.0,14.0,ASUS,19800,198,82,56,7
https://www.biccamera.com/bc/item/7237832/,8MD65PA-AAAA ノートパソコン Chromebook x360 12b-ca0002TU セラミックホワイト [12.0型 /intel Pentium /eMMC：64GB /メモリ：4GB /2019年10月モデル],https://image.biccamera.com/img/00000007237832_A01.jpg?sr.dw=320&sr.jqh=60&sr.dh=320&sr.mat=1,HP　ヒューレット・パッカード,"54,700円（税込）","5,470ポイント
              （10％）",在庫あり,"(3)
                  ",no ship info,"['2019年10月モデル', 'eMMC64GB', 'intelPentium', '12.0型', 'メモリ4GB']",2019年10月モデル,4,0,0,64,pentium,,12.0,12.0,HP,54700,5470,3,115,12
https://www.biccamera.com/bc/item/7043405/,VivoBook ノートパソコン シルバーグラディエント D540YA-XX556T [15.6型 /AMD Eシリーズ /HDD：500GB /メモリ：4GB /2019年9月モデル],https://image.biccamera.com/img/00000007043405_A01.jpg?sr.dw=320&sr.jqh=60&sr.dh=320&sr.mat=1,ASUS　エイスース,"37,800円（税込）","3,780ポイント
              （10％）",在庫あり,"(4)
                  ",2019年11月4日月曜日にお届け,"['15.6型', 'AMDEシリーズ', '2019年9月モデル', 'HDD500GB', 'メモリ4GB']",2019年9月モデル,4,500,0,0,0,AMDEシリーズ,15.6,15.0,ASUS,37800,3780,4,93,10
https://www.biccamera.com/bc/item/6280280/,SurfaceGo [10.0型 /SSD 128GB /メモリ 8GB /Intel Pentium /シルバー/2019年] MCZ-00032 Windowsタブレット サーフェスゴー,https://image.biccamera.com/img/00000006280280_A01.jpg?sr.dw=320&sr.jqh=60&sr.dh=320&sr.mat=1,マイクロソフト　Microsoft,"82,940円（税込）","8,294ポイント
              （10％）",在庫あり,"(32)
                  ",2019年11月4日月曜日にお届け,"['SSD128GB', 'IntelPentium', '10.0型', 'シルバー', '2019年', 'メモリ8GB']",2019年,8,0,128,0,pentium,,10.0,10.0,Microsoft,82940,8294,32,95,12
https://www.biccamera.com/bc/item/7231920/,Chromebook S330 ノートパソコン ビジネスブラック 81JW0010JE [14.0型 /MediaTek /eMMC：32GB /メモリ：4GB /2019年11月モデル],https://image.biccamera.com/img/00000007231920_A01.jpg?sr.dw=320&sr.jqh=60&sr.dh=320&sr.mat=1,レノボジャパン　Lenovo,"36,800円（税込）","3,680ポイント
              （10％）",在庫あり,"(3)
                  ",2019年11月4日月曜日にお届け,"['2019年11月モデル', 'MediaTek', 'eMMC32GB', 'メモリ4GB', '14.0型']",2019年11月モデル,4,0,0,32,0,,14.0,14.0,Lenovo,36800,3680,3,94,10
https://www.biccamera.com/bc/item/6787532/,MacBookPro 15インチ Touch Bar搭載モデル[2019年/SSD 512GB/メモリ 16GB/2.3GHz 8コア Core i9]スペースグレイ MV912J/A,https://image.biccamera.com/img/00000006787532_A01.jpg?sr.dw=320&sr.jqh=60&sr.dh=320&sr.mat=1,アップル　Apple,"333,070円（税込）","33,307ポイント
              （10％）",在庫あり,"(12)
                  ",2019年11月4日月曜日にお届け,"['15インチ', '2.3GHz8コアCorei9', 'メモリ16GB', '2019年', 'SSD512GB']",2019年,16,0,512,0,corei9,,15.0,15.0,Apple,333070,33307,12,92,10
https://www.biccamera.com/bc/item/3668944/,MacBookPro 13インチモデル[2017年/SSD 256GB/メモリ 8GB/2.3GHzデュアルコア Core i5]シルバー MPXU2J/A,https://image.biccamera.com/img/00000003668944_A01.jpg?sr.dw=320&sr.jqh=60&sr.dh=320&sr.mat=1,アップル　Apple,"124,800円（税込）","1,248ポイント
",在庫あり,"(27)
                  ",2019年11月4日月曜日にお届け,"['2017年', 'SSD256GB', '2.3GHzデュアルコアCorei5', '13インチ', 'メモリ8GB']",2017年,8,0,256,0,corei5,,13.0,13.0,Apple,124800,1248,27,78,7
